NAME,Price (in INR),Discount,Description,Original Price Claimed(in INR)
Wrath,419,72% off,Solid Men Round Neck Maroon T-Shirt,1496.4285714285713
Trendfull,197,80% off,Solid Men Round or Crew Black T-Shirt,985.0
UZEE,262,73% off,Printed Men Round Neck Yellow T-Shirt,970.3703703703703
Indian Terrain,699,50% off,Printed Men Polo Neck Grey T-Shirt,1398.0
FLEXIMAA,350,53% off,Solid Men Polo Neck Maroon T-Shirt,744.6808510638298
ICC Cricket World Cup,399,63% off,Sports Men Round Neck Blue T-Shirt,1078.3783783783783
REEBOK,659,45% off,Self Design Men Polo Neck Grey T-Shirt,1198.1818181818182
REEBOK,604,45% off,Solid Men Polo Neck Blue T-Shirt,1098.1818181818182
Lifeidea,218,75% off,"Striped Men Henley Neck White, Dark Blue T-Shirt",872.0
Billion,307,72% off,PerfectFit Solid Men Mock Neck Black T-Shirt,1096.4285714285713
U.S. Polo Assn,675,54% off,Embroidered Men Polo Neck Yellow T-Shirt,1467.391304347826
Aelomart,424,71% off,"Color Block Men Round Neck Maroon, White T-Shirt",1462.0689655172414
Tripr,314,65% off,Solid Men Hooded Black T-Shirt,897.1428571428571
NB NICKY BOY,269,75% off,Printed Men Round Neck Black T-Shirt,1076.0
FLEXIMAA,399,63% off,Printed Men Round or Crew Blue T-Shirt,1078.3783783783783
AWG,599,80% off,Solid Men Round Neck Multicolor T-Shirt,2995.0
Kay Dee,291,75% off,Color Block Men Round Neck Yellow T-Shirt,1164.0
Highlander,328,53% off,"Printed Men Round or Crew Black, Grey T-Shirt",697.8723404255319
BRO EASY,340,71% off,"Color Block, Striped Men Round Neck Multicolor T-Shirt",1172.4137931034484
Shaun,531,55% off,Graphic Print Men Round Neck Multicolor T-Shirt,1180.0
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1398.5714285714287
London Hills,674,82% off,Solid Men Round Neck Multicolor T-Shirt,3744.4444444444443
JORKK,199,40% off,Printed Men Round or Crew White T-Shirt,331.6666666666667
Tap in,670,82% off,"Solid Men Round Neck Dark Green, Maroon, Black T-Shirt",3722.222222222222
REEBOK CLASSICS,734,51% off,Solid Men Round or Crew Blue T-Shirt,1497.9591836734694
EG,304,61% off,Striped Men Scoop Neck Black T-Shirt,779.4871794871794
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,996.0
REEBOK,549,50% off,Self Design Men Polo Neck Black T-Shirt,1098.0
Lotto,584,55% off,Sports Men Round Neck Black T-Shirt,1297.7777777777778
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1398.5714285714287
Parx,449,50% off,Solid Men Round Neck Black T-Shirt,898.0
