NAME,Price (in INR),Discount,Description,Original Price Claimed(in INR), 
REEBOK,674,55% off,Printed Men Round or Crew Blue T-Shirt,1348,
Avni's,139,76% off,Printed Men Round Neck Reversible Multicolor T-Shirt,278,
Duke,696,30% off,Printed Men Polo Neck Pink T-Shirt,1392,
UZEE,234,76% off,Printed Men Round Neck Yellow T-Shirt,468,
WRODSS,273,72% off,"Printed, Striped Men Round Neck Black T-Shirt",546,
GHPC,399,60% off,Color block Men Hooded Blue T-Shirt,798,
Maniac,343,66% off,"Graphic Print Men Round or Crew Black, Grey T-Shirt",686,
UZEE,247,75% off,Solid Men Round or Crew Black T-Shirt,494,
Duke,696,30% off,Printed Men Polo Neck Blue T-Shirt,1392,
Try This,359,64% off,Solid Men Henley Maroon T-Shirt,718,
Duke,597,40% off,Striped Men Polo Neck Pink T-Shirt,1194,
Billion,183,77% off,"PerfectFit Solid Men V-Neck Grey, Black T-Shirt",366,
GHPC,336,66% off,Solid Men Round or Crew Maroon T-Shirt,672,
Friskers,381,59% off,Printed Men Round Neck Yellow T-Shirt,762,
Wildcraft,492,62% off,Self Design Men Polo Neck Maroon T-Shirt,984,
Tfurnish,322,67% off,Solid Men Hooded Red T-Shirt,644,
Fabstone Collection,248,58% off,"Color block Men Round or Crew Maroon, Black T-Shirt",496,
Young Trendz,299,66% off,Graphic Print Men Round or Crew Orange T-Shirt,598,
Black Collection,474,66% off,Solid Men Turtle Neck Blue T-Shirt,948,
Kay Dee,279,72% off,Solid Men Hooded Black T-Shirt,558,
Duke,239,40% off,Printed Men Round Neck Grey T-Shirt,478,
Jack & Jones,549,50% off,Printed Men Round Neck Black T-Shirt,1098,
ADIDAS,749,50% off,Solid Men Round Neck Black T-Shirt,1498,
Katso,246,62% off,FabTag - Katso Solid Men Hooded Dark Blue T-Shirt,492,
KAY S APPARELS,283,68% off,Solid Men Hooded Blue T-Shirt,566,
Duke,597,40% off,Striped Men Polo Neck Pink T-Shirt,1194,
Parx,419,65% off,"Striped Men Polo Neck Blue, Orange T-Shirt",838,
Arrow Sport,985,42% off,Printed Men Polo Neck White T-Shirt,1970,
FastColors,299,85% off,"Solid Men Round Neck Dark Blue, Black, Grey T-Shirt",598,
Levi's,499,50% off,Solid Men V-Neck Grey T-Shirt,998,
Try This,381,61% off,Color block Men V-neck Maroon T-Shirt,762,
Highlander,328,53% off,"Printed Men Round or Crew Black, Grey T-Shirt",656,
Tripr,303,66% off,Printed Men Round Neck Dark Blue T-Shirt,606,
London Hills,359,77% off,Striped Men Round Neck Black T-Shirt,718,
Wrath,419,72% off,Solid Men Round Neck Maroon T-Shirt,838,
Trendfull,197,80% off,Solid Men Round or Crew Black T-Shirt,394,
UZEE,262,73% off,Printed Men Round Neck Yellow T-Shirt,524,
Indian Terrain,699,50% off,Printed Men Polo Neck Grey T-Shirt,1398,
FLEXIMAA,350,53% off,Solid Men Polo Neck Maroon T-Shirt,700,
ICC Cricket World Cup,399,63% off,Sports Men Round Neck Blue T-Shirt,798,
REEBOK,659,45% off,Self Design Men Polo Neck Grey T-Shirt,1318,
REEBOK,604,45% off,Solid Men Polo Neck Blue T-Shirt,1208,
Lifeidea,218,75% off,"Striped Men Henley Neck White, Dark Blue T-Shirt",436,
Billion,307,72% off,PerfectFit Solid Men Mock Neck Black T-Shirt,614,
U.S. Polo Assn,675,54% off,Embroidered Men Polo Neck Yellow T-Shirt,1350,
Aelomart,424,71% off,"Color Block Men Round Neck Maroon, White T-Shirt",848,
Tripr,314,65% off,Solid Men Hooded Black T-Shirt,628,
NB NICKY BOY,269,75% off,Printed Men Round Neck Black T-Shirt,538,
FLEXIMAA,399,63% off,Printed Men Round or Crew Blue T-Shirt,798,
AWG,599,80% off,Solid Men Round Neck Multicolor T-Shirt,1198,
Kay Dee,291,75% off,Color Block Men Round Neck Yellow T-Shirt,582,
Highlander,328,53% off,"Printed Men Round or Crew Black, Grey T-Shirt",656,
BRO EASY,340,71% off,"Color Block, Striped Men Round Neck Multicolor T-Shirt",680,
Shaun,531,55% off,Graphic Print Men Round Neck Multicolor T-Shirt,1062,
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1958,
London Hills,674,82% off,Solid Men Round Neck Multicolor T-Shirt,1348,
JORKK,199,40% off,Printed Men Round or Crew White T-Shirt,398,
Tap in,670,82% off,"Solid Men Round Neck Dark Green, Maroon, Black T-Shirt",1340,
REEBOK CLASSICS,734,51% off,Solid Men Round or Crew Blue T-Shirt,1468,
EG,304,61% off,Striped Men Scoop Neck Black T-Shirt,608,
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,498,
REEBOK,549,50% off,Self Design Men Polo Neck Black T-Shirt,1098,
Lotto,584,55% off,Sports Men Round Neck Black T-Shirt,1168,
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1958,
Parx,449,50% off,Solid Men Round Neck Black T-Shirt,898,
ADIDAS,879,45% off,Striped Men Round Neck Blue T-Shirt,1758,
Aelomart,474,68% off,"Broad Stripes Men Round Neck Yellow, Black T-Shirt",948,
Try This,359,64% off,Self Design Men Henley Black T-Shirt,718,
U.S. Polo Assn,899,50% off,Printed Men Polo Neck Beige T-Shirt,1798,
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,498,
Lee,999,50% off,Checkered Men Polo Neck Purple T-Shirt,1998,
Concepts,705,55% off,Solid Men Round or Crew Multicolor T-Shirt,1410,
REEBOK,599,50% off,Solid Men Polo Neck Black T-Shirt,1198,
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1958,
Tfurnish,322,67% off,Solid Men Hooded Grey T-Shirt,644,
Metronaut,319,80% off,Printed Men Round or Crew Dark Blue T-Shirt,638,
Billion,251,72% off,PerfectFit Solid Men Henley Grey T-Shirt,502,
Metronaut,384,65% off,Striped Men Polo Neck Blue T-Shirt,768,
Wearza,479,68% off,"Self Design Men Round Neck Black, White, Maroon T-Shirt",958,
Duke,597,40% off,Striped Men Polo Neck Pink T-Shirt,1194,
DIFFERENCE OF OPINION,449,55% off,Printed Men Round or Crew Green T-Shirt,898,
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Black T-Shirt,1958,
Unisopent Designs,341,65% off,Printed Men Round Neck White T-Shirt,682,
SCATCHITE,625,68% off,"Color Block, Striped Men Polo Neck Grey T-Shirt",1250,
Flying Machine,599,40% off,Solid Men Polo Neck Green T-Shirt,1198,
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1958,
ADIDAS,879,45% off,Striped Men Round Neck White T-Shirt,1758,
Print Station,359,55% off,Printed Men Round Neck Black T-Shirt,718,
Wildcraft,479,40% off,"Printed Men Round Neck Black, Maroon T-Shirt",958,
FastColors,299,85% off,"Solid Men Round Neck Dark Blue, Black, Grey T-Shirt",598,
Dillinger,296,67% off,Striped Men Round Neck Grey T-Shirt,592,
Proline,699,50% off,Striped Men Polo Neck Dark Blue T-Shirt,1398,
Flying Machine,399,50% off,Solid Men Round Neck Maroon T-Shirt,798,
UZEE,284,71% off,Solid Men Round or Crew Dark Blue T-Shirt,568,
Puma,659,40% off,Printed Men Round or Crew White T-Shirt,1318,
Duke,239,40% off,Printed Men Round Neck Blue T-Shirt,478,
ADIDAS,687,57% off,Solid Men Polo Neck Blue T-Shirt,1374,
Kay Dee,277,72% off,Solid Men Hooded Grey T-Shirt,554,
Try This,359,64% off,Solid Men Turtle Neck Black T-Shirt,718,
